EIN,NAME,STREET,CITY,ZIP,ACTIVITY,NTEE_CD
10818538,LATHROP COMMUNITY CENTER,710 NORTH ST,LATHROP,64465-9507,0,S20
10826529,RAIN MAKERS CHRISTIAN SPORTS MINISTRY,PO BOX 1411,JOPLIN,64802-1411,0,N60
10829991,MORLEY CHURCH OF GOD,PO BOX 267,MORLEY,63767-0267,1268000,
10837891,MMRCA CORP,209 LONGFELLOW LN,COLUMBIA,65203-1622,0,N50
10839874,NORTH GRAND NEIGHBORHOOD SERVICES,2441 FALL AVE,SAINT LOUIS,63113-3515,0,L20
10841627,PAN AFRICAN ORGANIZATION FOR HEALTH EDUCATION AND RESEARCH POHER,PO BOX 237,VALLEY PARK,63088-0237,0,
10846423,CCA RELIEF FUND INC,4301 EARTH CITY EXPY,EARTH CITY,63045-1334,0,M20
10847852,REDEEMERS FELLOWSHIP CHURCH,10 HENRIETTA LN,PERRYVILLE,63775-1222,0,X20
10847892,VIBCOR,401 CLINKSCALES RD,COLUMBIA,65203-1123,0,T30
10855170,CATHOLIC CHRISTIANS DEFENDING CHRIST AND HIS CHURCH,6109 SOUTHERN DR,SAINT LOUIS,63123-1677,0,X22
10855812,TALK IT UP COMMUNICATIONS,1720 ARUNDEL DR,FLORISSANT,63033-6325,0,X20
10858847,RIVER CITY POPS,4030 MCDONALD AVE,SAINT LOUIS,63116-3819,0,A6B
10866682,MISSOURI BLUEBIRD SOCIETY INC,PO BOX 105830,JEFFERSON CTY,65110-5830,0,D32
10868398,ARK OF SAFETY CHRISTIAN CHURCH,2529 CHARWOOD ST,SAINT CHARLES,63301-2565,0,X21
10878659,MORGAN COUNTY CLEAR,PO BOX 163,VERSAILLES,65084-0163,0,S21
10881719,FISHER HOUSE IN ST LOUIS,1375 N HIGHWAY DR,FENTON,63026-1929,0,E11
10884039,ATAI ORPHANAGE FUND,PO BOX 1966,SAINT CHARLES,63302-1966,0,M11
10886790,HIDDEN IN CHRIST INC,9559NHUNTE AVE,KANSAS CITY,64157-0000,0,X21
10892443,ASHLAND OPTIMIST FOUNDATION OF ASHLAND MISSOURI INC,PO BOX 201,ASHLAND,65010-0201,0,T30
10896517,NEW BEGINNINGS CAT AND DOG RESCUE,981 MUELLER RD,SAINT PAUL,63366-4706,0,D20
10899869,BENTON ELEMENTARY SCHOOL PTO INC,1120 CARL SWEENEY RD,NEOSHO,64850-7743,0,B94
10905967,DIOCESE OF JEFFERSON CITY REAL ESTATE CORPORATION,PO BOX 104900,JEFFERSON CTY,65110-4900,31150120,
10906127,HIS KINGDOM COME MINISTRIES,3150 S NETTLETON AVE,SPRINGFIELD,65807-4351,0,X20
10911918,MISSOURI NATIONAL EDUCATION ASSOCIATION,1810 E ELM ST,JEFFERSON CTY,65101-4100,261000000,
10913644,WORTH COUNTY BALL ASSOCIATION INC,PO BOX 223,GRANT CITY,64456-0223,0,N63
10914988,KIWANIS INTERNATIONAL INC,7312 MARION AVE,KANSAS CITY,64133-7034,0,
10916759,KIPP ST LOUIS,1310 PAPIN ST STE 203,SAINT LOUIS,63103-3132,0,
10918377,HIGH CALLING MINISTRIES CHURCH OF THE APOSTOLIC FAITH INC,465 BENNE DR,FLORISSANT,63031-1605,0,X21
10919406,MISSOURI ASSOCIATION OF ACCOUNTING EDUCATORS,901 S NATIONAL AVE,SPRINGFIELD,65897-0027,0,B60
10924297,STREETS OF HOPE,6600 ALDER AVE,SAINT LOUIS,63134-1304,0,O55
10926268,NEW LIFE CHURCH MONARCH CAMPUS,776 W FARM ROAD 186,SPRINGFIELD,65810-2584,1002029,
10933426,BAG LADIES,PO BOX 838,REPUBLIC,65738-0838,0,P58
10935052,VIKINGS CHILDRENS HOMES,PO BOX 923,KENNETT,63857-0923,0,P30
10940490,BUFFALO ROTARY CLUB,PO BOX 177,BUFFALO,65622-0177,0,S80
10941908,ADAIR COUNTY DD LINK,314 E MCPHERSON ST,KIRKSVILLE,63501-3557,0,P82
10944723,PETS NEED PEOPLE,501 E WEE JO CT,COLUMBIA,65202-7710,0,D60
10945358,FRATERNAL ORDER OF EAGLES,273 PARDELLA AVE,SAINT LOUIS,63125-1128,0,
10949075,HOWARD COUNTY HEALTH AND WELLNESS COUNCIL,427 STATE RTE E,FAYETTE,65248-9446,0,E70
10951147,BUILDERS DEVELOPMENT CORPORATION,600 E 103RD ST,KANSAS CITY,64131-4342,0,L20
10955267,SONS OF UNION VETERANS OF THE CIVIL WAR,10515 HACKAMORE LN,SAINT LOUIS,63128-1203,907000000,
10961284,SIGHT AND SOUND IMPAIRED OF ST LOUIS,1808 WESTMOOR DR,FORISTELL,63348-1931,0,P86
10961821,PROMISE OF GRACE ASSEMBLY,1823 SAN RICARDO DR APT A,ST LOUIS,63138-1942,1002029,
10964413,BATTLEFILLED MINISTRIES,2309 E 81ST ST,KANSAS CITY,64132-2364,0,X20
10964584,CENTER FOR THE ACCELERATION OF AFRICAN AMERICAN BUSINESS CAAAB,5415 PAGE BLVD,SAINT LOUIS,63112-3416,0,S30
10965813,MISSOURI STATE BUTTON SOCIETY,1505 S OLD HIGHWAY 94 APT 208,SAINT CHARLES,63303-3750,0,N50
13312879,GRACE FELLOWSHIP OF TRENTON MISSOURI,126 FISHER AVE,GILLMAN CITY,64642-9440,0,X21
15145247,AMVETS,318 BROAD ST,MOKANE,65059-1341,907000000,
16027620,ALPHA DELTA KAPPA SORORITY INC,1615 W 92ND ST,KANSAS CITY,64114-3210,36319000,
16027621,ALPHA DELTA KAPPA SORORITY INC,1615 W 92ND ST,KANSAS CITY,64114-3210,36319000,
16027622,ALPHA DELTA KAPPA SORORITY INC,1615 W 92ND ST,KANSAS CITY,64114-3210,36319000,
16269303,THE@HAGAN ENDOWMENT,PO BOX 1225,COLUMBIA,65205-1225,0,T22
20364847,UNITED FEDERATION OF DOLL CLUBS INC,10900 N POMONA AVE,KANSAS CITY,64153-1256,0,
20450540,ALPHA DELTA KAPPA SORORITY INC,1615 W 92ND ST,KANSAS CITY,64114-3210,0,
20464582,AMERICAN INDEPENDENT COCKPIT ALLIANCE,PO BOX 220670,SAINT LOUIS,63122-0670,263000000,
20547824,PARKVILLE ATHLETIC SOCCER CLUB,6014 N STATE ROUTE 9 STE B,PARKVILLE,64152-3670,0,N64
20552790,VISION BROADCASTING OF POPLAR BLUFF,2506 ROXIE ROAD,POPLAR BLUFF,63901-0000,0,X84
20555187,ORDER OF QUETZALCOATL PLUMED SERPENT,PO BOX 547,FENTON,63026-0547,0,
20564732,AMERICAN FEDERATION OF LABOR & CONGRESS OF INDUSTRIAL ORGS,301 E 103RD ST TERR,KANSAS CITY,64114-4760,0,
20566229,EXPRESS SCRIPTS FOUNDATION,ONE EXPRESS WAY HQ2E04,ST LOUIS,63121-1824,0,T21
20567243,KIDS IN MONTESSORI,1032 KIM SCHOOL CIR,JEFFERSON CTY,65101-0006,0,B21
20568032,WESTFIELD MANOR ASSOCIATION,1150 HANLEY INDUSTRIAL CT,SAINT LOUIS,63144-1910,0,L22
20572671,LIGHTHOUSE MINISTRY FELLOWSHIP OF KANSAS CITY,21615 S PECULIAR DR,PECULIAR,64078-8780,0,X20
20585959,SCDL INC,PO BOX 171,O FALLON,63366-0171,0,N60
20586953,NEW HORIZONS AGENCY INC,2013 WILLIAM STREET,JEFFERSON CITY,65109-4771,0,T20
20591083,FRIENDS OF ST MARYS CHURCH OF ADAIR MISSOURI INC,817 E MCPHERSON ST,KIRKSVILLE,63501-3768,0,A80
20592712,CHRISTIAN RELIEF MINISTRIES,3105 SE 726 RD,COLLINS,64738-7188,0,
20593503,MISSOURI ARML,2339 LA CUESTA DR,FLORISSANT,63031-7637,0,U34
20594135,HUFFT CEMETERY,15075 HIGHWAY NN,ELDRIDGE,65463-8110,0,Y50
20598806,INTERNATIONAL FENG SHUI GUILD INC,705B SE MELODY LANE STE 166,LEES SUMMIT,64063-4380,0,S41
20601511,CHRISTS SAVING HEALING LOVE MINISTRIES INC,18741 MONROE DR,PHILLIPSBURG,65722-9188,0,X20
20623368,GREATER KANSAS CITY AREA COMMITTEE OF THE NATIONAL MUSEUM OF WOMEN IN,PO BOX 22495,KANSAS CITY,64113-0495,0,T11
20623424,ST LOUIS GIRLS YOUTH HOCKEY ASSOCIATION,10065 KALINDA LN,SAINT LOUIS,63128-1542,0,N68
20625186,NORTHWEST GYMNASTICS BOOSTER CLUB,PO BOX 370,LAWSON,64062-0370,0,N99
20627752,AMERICAN ASSOCIATION OF ZOO KEEPERS,3043 N FORT AVE,SPRINGFIELD,65803-1052,0,
20628726,SARAH BETH MCCOY FDN,5422 SE ROAD 125,EASTON,64443-0000,0,T20
20628984,NORTH MISSOURI ASSOC OF INSURANCE AND FINANCIAL ADVISORS,103 S FIRST ST,EDINA,63537-1102,0,S40
20630690,OUTREACH CHRISTIAN CHURCH,2179 E BEARFIELD SUBDIVISION,COLUMBIA,65201-9135,0,X20
20635349,EDEN COMMUNITY CHURCH,5914 HUNTERS FORD RD,PACIFIC,63069-4021,0,X21
20639610,CAMP JOY MINISTRIES,1087 E STATE HIGHWAY 96,ORONOGO,64855-8113,0,X21
20641248,MEMORY CARE HOME SOLUTIONS,4389 W PINE BLVD,SAINT LOUIS,63108-2205,0,G83
20643692,PURE HEART MINISTRIES INC,PO BOX 1024,SAINT PETERS,63376-0018,0,F50
20645565,WASTE NOT WANT NOT INC,2634 SUNRISE DR,EUREKA,63025-3515,0,L81
20646732,MOMS CLUB,532 BEAR RIGDE,HIGHLANDVILLE,65669-0000,0,
20648724,JADWIN CEMETERY ASSOCIATION INC,1223 HIGHWAY BB,JADWIN,65501-8120,0,Y50
20662585,WOODLAND PUBLIC CHARITY,4010 WASHINGTON,KANSAS CITY,64111-2609,0,T30
20667342,HILLTOP MANOR ASSOCIATION INC,1150 HANLEY INDUSTRIAL CT,SAINT LOUIS,63144-1910,0,L22
20668138,ST LOUIS AFGHAN CULTURAL ASSOCIATION,4700 S GRAND BLVD,SAINT LOUIS,63111-1408,0,B90
20672037,KJV BIBLE BAPTIST CHURCH,21270 BROWN SCHOOL RD,WAVERLY,64096-9126,0,T20
20676103,DESTINED TO WIN,220 PALMYRA RD,HANNIBAL,63401-0000,0,X20
20678251,LITTLE BLUE RIVER WATERSHED COALITION,6103 NOLAND RD,KANSAS CITY,64133-4501,0,C32
20682145,ASSISTED INDEPENDENCE INC,2502 N 32ND ST,SAINT JOSEPH,64506-2031,0,J21
20691389,TEPEE OF DREAMS INC,3346 QUARRY RD,BATES CITY,64011-8498,0,P58
20695824,ROCKHAVEN ECOZOIC CENTER,7621 RIVERMONT TRL,HOUSE SPRINGS,63051-2030,0,X90
20700128,ZONTA CLUB OF CAPE GIRARDEAU AREA FOUNDATION,3040 KEYSTONE DR,CPE GIRARDEAU,63701-1725,0,B82
20706006,HOUN DAWG FOOTBALL ALUMNI ASSOCITION,PO BOX 148,AURORA,65605-0148,0,N11
20711886,HOLIDAY RAMBLER RECREATIONAL VEHICLE CLUB INC,1200 BENTON ST,MALDEN,63863-1304,0,N20
20715123,MISSION POSSIBLE CENTER,PO BOX 65,GRANT CITY,64456-0065,0,P20
20723962,SHEPHERDS TABLE,PO BOX 1045,MOUNTAIN VIEW,65548-1045,1029000,
20727462,HOPE FAITH MINISTRIES INC,705 VIRGINIA AVE,KANSAS CITY,64106-1744,0,P20
20727541,COALITION FOR ANIMAL RESCUE AND EDUCATION,PO BOX 2203,HILLSBORO,63050-8203,0,D20
20729069,FAMILY ENCHANCEMENT CENTER,5244 EDGEMERE DR,BLACK JACK,63033-7737,0,P50
20731227,ROTARY INTERNATIONAL,3200 S STATE ROUTE 291,INDEPENDENCE,64057-1702,520349200,
20739200,DOGWOOD FARM SANCTUARY,1766 W HIGHWAY U,TROY,63379-4183,0,D20
20740503,DUNN RIDGE ESTATES HOMEOWNERS ASSOCIATION,5328 DUNN RIDGE CT,HAZELWOOD,63042-1677,0,L50
20743045,MARINE CORPS LEAGUE,PO BOX 324,WAYNESVILLE,65583-0324,36279265,P40
20752160,FLORISSANT DOG PARK ASSOCIATION,1345 PADDOCK DR,FLORISSANT,63033-2238,0,D03
20752295,MISSOURI POSTAL WORKERS UNION AUXILIARY,PO BOX 1944,SAINT CHARLES,63302-1944,263264279,
20755409,A CUP OF WATER INTERNATIONAL INC,721 MAIN ST,GRANDVIEW,64030-2328,0,Q30
20769908,HOWARD COUNTY MISSOURI GENEALOGICAL SOCIETY,201 S MAIN ST,FAYETTE,65248-1272,0,A80
20771177,GRANBY FIRST CHURCH OF GOD,PO BOX 243,GRANBY,64844-0243,1268000,
20771273,SHILOH TEMPLE CHURCH OF GOD IN CHRIST,PO BOX 8160,SAINT LOUIS,63156-8160,0,X20
20775876,THE OPTIMIST FOUNDATION OF ADRIAN MISSOURI INC,PO BOX 172,ADRIAN,64720-0172,0,T30
20782956,FRIENDS OF THE METRO WEST FIRE DISTRICT,17065 MANCHESTER RD,WILDWOOD,63040-1111,0,M99
20783393,TRUE LIGHT FAMILY RESOURCE CENTER,712 E 31ST ST,KANSAS CITY,64109-1438,0,P20
20785630,GATEWAY TO PEACE MUSEUM INC,8312 NATURAL BRIDGE RD,SAINT LOUIS,63121-4548,0,A50
20786148,CARING ADVOCATE READY & EMPHATETIC,750 ARNOLD AVE,WHITEMAN AFB,65305-5315,0,P62
20788777,WILDWOOD PLANTATION INC,40 DAMES CT,SAINT LOUIS,63135-2127,0,A80
20796349,TSL INC,4455 RIDGEWOOD AVE UNIT 2742,SAINT LOUIS,63116-5012,0,R260
20799767,MISSOURI ROUNDTABLE LEGAL FOUNDATION,231 S BEMISTON AVE STE 800,SAINT LOUIS,63105-1925,0,R62
20800484,RISE TOGETHER MINISTRIES,3646 FAIRVIEW AVE,SAINT LOUIS,63116-4747,0,P80
20800680,GLOBAL R E S T,9189 COUNTY ROAD 300,CARL JUNCTION,64834-6133,0,X192
20806350,BALCH MEMORIAL CEMETERY INC,11802 BROWNING LN,ZALMA,63787-8680,0,Y50
20807677,THE CADILLAC CLUB OF KANSAS CITY INC,4525 N BALTIMORE DR,KANSAS CITY,64116-1583,0,N50
26019114,ALPHA DELTA KAPPA SORORITY INC,1615 W 92ND ST,KANSAS CITY,64114-3210,36319000,
26019253,ALPHA DELTA KAPPA SORORITY INC,1615 W 92ND ST,KANSAS CITY,64114-3210,36319000,
30363222,NATIONAL HOLSTEIN WOMENS SCHOLARSHIP ORGANIZATION,4728 COUNTY ROAD 240,KINGDOM CITY,65262-1706,0,B82
30374478,SERVICES BY DESIGN INC,1852 CRAIG PARK CT,SAINT LOUIS,63146-4122,0,P70
30375345,WASHINGTON UNIVERSITY DENTAL ALUMNI ASSOCIATION,3 LADUE ESTATES DR,SAINT LOUIS,63141-8321,0,B842
30382579,JOPLIN POLICE DEPARTMENT EXPLORERS,303 E 3RD ST,JOPLIN,64801-2274,0,O50
30393833,FRANCIS HOWELL SCHOOL DISTRICT SUPPORT ORGANIZATION COUNCIL,2549 HACKMANN RD,SAINT CHARLES,63303-5452,35000000,
30403772,XI OMICRON IOTA,901 S NATIONAL AVE,SPRINGFIELD,65897-0027,0,Y11
30407826,JEFFERSON COUNTY WATER AUTHORITY,711 W MAIN ST,FESTUS,63028-1719,0,
30413667,BRADLEY MEMORIAL CATHEDRAL OF WORSHIP,131 THE WOODLANDS,KANSAS CITY,64119-1875,0,X20
30415363,MARIANIST PROVINCE OF THE UNITED STATES SOCIETY OF MARY,4425 W PINE BLVD,SAINT LOUIS,63108-2301,31150120,
30416506,MADISON-WEST MONROE FPD,PO BOX 57,MADISON,65263-0057,0,M24
30419186,MISSOURI VETERANS COMMISSION FOUNDATION INC,PO BOX 105975,JEFFERSON CTY,65110-5975,0,W113
30425187,RIVER RELIEF INC,PO BOX 463,COLUMBIA,65205-0463,0,C20
30429108,FRENCHTOWN HERITAGE MUSEUM,1121 N 2ND ST,SAINT CHARLES,63301-2101,0,A50
30433895,SOUTHVIEW HOUSING CORPORATION,200 N COLLEGE ST,RICHMOND,64085-1604,0,L21
30433925,SPRUCE LANDING HOUSING CORPORATION,1505 NE PARVIN RD NO 152,KANSAS CITY,64116-2304,0,F80
30439490,CHFPATIENTS COM INC,4 CASTLEWOOD CT,SAINT PETERS,63376-2408,0,G43
30448470,THE WOMENS CLINIC OF K C INC,2601 SW CARLTON DR,LEES SUMMIT,64082-4124,0,E40
30449128,TUNAS VOLUNTEER FIRE DEPARTMENT INC,PO BOX 81,TUNAS,65764-0081,0,M24
30449853,WOODLAND HILLS FAMILY CHURCH,3953 GREEN MOUNTAIN DR,BRANSON,65616-8555,0,X20
30452019,ASSOCIATION FOR COMPUTING MACHINERY,1600 UNIVERSITY AVE,BOLIVAR,65613-2578,0,
30466709,FIRST LIGHT INC,PO BOX 430142,SAINT LOUIS,63143-0242,0,X99
30477306,BOONE HOSPITAL FOUNDATION,1600 E BROADWAY,COLUMBIA,65201-5844,0,E112
30479071,SMART LIFE MINISTRIES INC,1649 SPRINGHILL ST,CHILLICOTHE,64601-1266,0,X20
30484119,PLACE OF SAFETY,5102 EXETER AVE,SAINT LOUIS,63119-4340,0,P60
30494378,MID MISSOURI LAW ENFORCEMENT FIREFIGHTERS & EMS FUND,1051 STONE HILL HWY,HERMANN,65041-1206,0,P62
30498230,STARBRIDGE MINISTRIES,1634 HIGHLAND VALLEY CIR,CHESTERFIELD,63005-4919,0,P99
30508183,MARYLAND HEIGHTS CONVENTION AND VISITORS BUREAU,PO BOX 2125,MARYLAND HTS,63043-0925,0,S30
30509861,ELECTRICAL REBUILDERS ASSOCIATION,PO BOX 906,UNION,63084-0906,0,J03
30517083,BEIT HALLEL OLAH MESSIANIC CONGREGATION,PO BOX 3150,SPRINGFIELD,65808-3150,0,X90
30519446,RISING STAR ACROBATIC CLUB,1202 COLONY DR,KEARNEY,64060-8219,0,N61
30520944,WELLS OF JOY INC,3015 E CAIRO ST,SPRINGFIELD,65802-6204,0,X20
30525791,BRIDGE OF BLUE SPRINGS INC,3938 EDS RD,ODESSA,64076-5147,0,X20
30528765,KIRKWOOD SCHOOL DISTRICT PARENT TEACHER ORGANIZATIONAL COUNCIL,725 N GEYER RD,KIRKWOOD,63122-2701,0,B112
30534837,TAKE TWO PRODUCTIONS,314 LAKE SIDE VIEW LN,COTTLEVILLE,63376-2293,0,A11
30544032,BARAK CHRISTIAN CHURCH,7370 N HANLEY RD,HAZELWOOD,63042-2900,0,X21
30547722,REMINGTON TRADITIONAL SCHOOL PTO,102 FEE FEE RD,MARYLAND HTS,63043-2710,0,B94
30549014,LASTING HARVEST INTERNATIONAL,45 NE HWY E,WARRENSBURG,64093-0000,0,X21
30550823,FUTURE AG SUSTAINABLE TECHNOLOGIES,6235 W CUNNINGHAM DR,COLUMBIA,65202-9110,0,K05
30551006,MEET THE NEED DEVELOPMENT CORPORATION,PO BOX 130,LAWSON,64062-0130,0,P20
30555047,JR LANCERS FOOTBALL,PO BOX 136,GROVER,63040-0136,0,N65
30555239,SOULARD OKTOBERFEST LLC,1000 GEYER AVE STE A,SAINT LOUIS,63104-3969,0,B82
30566869,COLLEGE OPTIONS FOUNDATION INC,3651 NE RALPH POWELL RD,LEES SUMMIT,64064-2357,0,B80
30568125,CUBA BELIEVES IN YOU SCHOLARSHIP INC,3084 E LINDBURG RD,CUBA,65453-5104,0,B82
30570681,KIDS ENJOY EXERCISE NOW,8820 LADUE RD STE 203,SAINT LOUIS,63124-2080,0,O50Z
30580174,COVENANT WARRIORS INSTITUTE INC,PO BOX 122,DIGGINS,65636-0122,0,O50
30582807,SAINT JOHN MISSIONARY BAPTIST CHURCH OF ST LOUIS MO,913 N GARRISON AVE,SAINT LOUIS,63106-1745,0,X20
30589288,BARRY COUNTY MUSEUM INC,PO BOX 338,CASSVILLE,65625-0338,0,A54
30590980,FIRST FAMILY CHURCH,645 HIGHWAY 42,OSAGE BEACH,65065-5306,1002029,X21
30593446,BREAKDOWN STL,16105 SWINGLEY RIDGE RD UNIT 165,CHESTERFIELD,63006-5008,0,E42
30596621,WORD OF LIFE MINISTRIES WORSHIP WELLNESS CENTER,2190 N WATERFORD DR,FLORISSANT,63033-2301,0,X21
30606755,MARSHALL CUMBERLAND PRESBYTERIAN CHURCH,1000 S MIAMI AVE,MARSHALL,65340-2440,0,
30614042,KNOWING YOU MINISTRIES,2065 DANELLE DR,FLORISSANT,63031-4313,0,T12
